,Posts
279,Neeru bala Hi.. Everyone.. If anyone after real online work. I can help u. Earn lots of money. It&#39;s fun. It&#39;s real and affiliated company.. U not think u r working. It&#39;s easy and enjoyable. For more info contact me .. Neeru105@ gmail.com
280,Faisal Alqarny Nice song ^_^
281,timemastro1 god she is so sexy! drives me crazy!
282,jemy Abdulrahman WOw
283,arribasinaloa Beltran shakira is the best!
284,اسيا الخواجة Nice
285,fatiha el fallali Shakira
286,5000palo Shakira :-*
287,Charly Boy Toy the best!
288,"Wafence Hey Youtubers and All Music lover&#39;s, Guess most of you all skip these comments, but for you who is still reading this, thanks ! I dont have any money for advertisiments, no chance of getting heard, nothing. All that&#39;s left is spam, sorry. Im 17, Rapper/Singer from Estonia. Please listen my new cover on my account. You wont regret it. Give me just a chance, please. Take half a second of your life and thumb this comment up. It will maybe change my life, for real. Thank you Wafence "
289,david rodriguez do you want to make some easy money? check out my page tvcmcadavid.weebly . com dont miss out on this opportunity give thumbs up i would apprecitate it.
290,"Tiffanythebest PLEASE CHECK OUT THIS VIDEO CALLED &quot;WE LOVE MIND MASTER IT&quot;, THANK U :)"
291,How To Advertise On Facebook WAYS TO MAKE MONEY 50k Per Month Search google Now &gt;&gt; 9nl.me/make-money-without-investment-1
292,How To Make Money On Youtube Meet The Richest Online Marketer NOW CLICK : bit.ly/make-money-without-adroid
293,Maika Kate Mish Linn How did you know that people makes another account just for subscribing itself and liking??? :)
294,Maika Kate Mish Linn :) I&#39;ll subscribe to you. You look Nice :)
295,Chris Boatsome Hey dickwad - we&#39;re all africans. The colour of your skin just tells us something about how long ago your ancestors left Africa. Check out Baba Brinkman - he has a song called &quot;I&#39;m A African&quot; Go learn something.
296,Mini Mus WOW muslims are really egoistic..... 23% of the World population and not in this video or donating 1 dollar to the poor ones in Africa :( shame on those terrorist muslims
297,RapStarz Coleman Wats Good Go Check Out My Music On Da Channel Ik Yall Got me
298,RapStarz Coleman I Know Y&#39;all Can Check Out Amy Music Because Yall Got Me Go To Da Channel
299,Northland Paranormal Society Northland Paranormal Society is now on YouTube! Check out our channel of real Paranormal evidence!! facebook/ Northland Paranormal Society!!!
300,"Adam Whitney Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing. I live in such a small town... If this comes off as spam, sorry. I’m an instrumental songwriter from Columbus, Mississippi. Please go to my channel and check out my original music. It would be highly appreciated if you thumbs up this comment so my music can be heard! Thank you, Adam Whitney "
301,Ando Nesia - | MC | Music Producer SO THEN HOW ARE YOU GOING TO CALL YOURSELF A INSTRUMENTAL SONGWRITER IF THERES NO SINGING THERES NO SONG TO WRITE!?!?! LOL. YOU GOT ALOT TO LEARN KID BUT HEY DON&#39;T FORGET TO SUBSCRIBE!
302,"Adam Whitney Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing. I live in such a small town... If this comes off as spam, sorry. I’m an instrumental songwriter from Columbus, Mississippi. Please go to my channel and check out my original music. It would be highly appreciated if you thumbs up this comment so my music can be heard! Thank you, Adam Whitney "
303,CC FootballWorld Please go in and see our Channel and subscribe :-). It would be Nice mate.
304,henry Richardson wanna earn money online without investment.....just visit this link .....therglove.blogspot.in/2013/08/blog-post_10.html
305,"Adam Whitney Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing. I live in such a small town... If this comes off as spam, sorry. I’m an instrumental songwriter from Columbus, Mississippi. Please go to my channel and check out my original music. It would be highly appreciated if you thumbs up this comment so my music can be heard! Thank you, Adam Whitney "
306,OriginalVines Best CHECK OUT THE DUBSTEP VERSION
307,How To Make Money On The Internet i can to make money
308,Gotcha Laughs Wanna Laugh??? Please SUBSCRIBE to our channel!!!
309,Diaz Katherine Earn money for being online with 0 efforts! bit.ly\14gKvDo
310,"Bernice Anne Could you please check out my covers on my channel? I do covers like Adele, Kodaline, Imagine Dragons...and more. Please if you could spare a few minutes, could you have a listen to one or two of my covers , Feel free to comment and subscribe :) Thank you! "
311,macgyver16 adf.ly /KlD3Y
312,Fiddle Me Silly Check out these Irish guys cover of Avicii&#39;s Wake Me Up! Just search... &quot;wake me up Fiddle Me Silly&quot; Worth a listen for the gorgeous fiddle player!
313,"DynamicDesignStudios Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing... If this comes off as spam, sorry. I am a video animator, just trying to make it up into the video animation industry. Please give me the chance to prove myself to you. Please visit my channel, subscribe if you like and thumb this comment up, so everyone can see! Thank You! "
314,"DynamicDesignStudios Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing... If this comes off as spam, sorry. I am a video animator, just trying to make it up into the video animation industry. Please give me the chance to prove myself to you. Please visit my channel, subscribe if you like and thumb this comment up, so everyone can see! Thank You! "
315,"DJ ROY Hey youtubers... I really appreciate all of you who took the time, to read this, I am just a 19 year old boy who wants to be a successful musician in the music world. I dont have any money to advertise my channel, If you could just visit my channel, comment on my video or subscribe, that would be great.... It will only be few seconds of your life..... Thank u to all the people who just gave me a chance l really appreciate it "
316,Mazacar Cfc subscribe to my pagee please.
317,Stanša Matej please subscribe to my page. thanks.
318,"Edward Wright Hey, hit this shit up while yall can, they killed the versace remix. Just type in CGE &quot;Versace Freestyle (Get Money)&quot; Shot by Ja-Wan Gardner and help them reach 1 million views."
319,"Comedy Recipe Hey guys and girls check out Comedy Recipe for hilarious you tube videos, pranks, and crank calls!"
320,"Titan Subscribe me, I will? subscribe you back!!!"
321,"Titan Subscribe me, I will? subscribe you back!!!"
322,TheEpicMixx':)x Please.. Check my channel out:) I subscribe back..;)
323,TheEpicMixx':)x I really ask nicely to view my vids:) I subscribe back..
324,ricky swaggz ******* Facebook is LAME and so 2004! Check out ------------ swagFriends com Make thousands of cool new friends everyday! Join this new movement!
325,Hidden Love Hi. Check out and share our songs.
326,Tim Marrotte CHECK OUT partyman318 FR GOOD TUNEZ!! :D
327,"DJ ROY Hey youtubers... I really appreciate all of you who took the time, to read this, I am just a 19 year old boy who wants to be a successful musician in the music world. I dont have any money to advertise my channel, If you could just visit my channel, comment on my video or subscribe, that would be great.... It will only be few seconds of your life..... Thank u to all the people who just gave me a chance l really appreciate it "
328,"Shadrach Grentz Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :)"
329,"Shadrach Grentz Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :) "
330,"Shadrach Grentz Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :) "
331,Hidden Love Hi. Check out and share our songs.
332,Hidden Love Hi. Check out and share our songs.
333,Hidden Love Hi.Check out and share our songs.
334,"Shadrach Grentz Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :) "
335,"Anthony Lam Hey, I am doing the Forty Hour famine so I&#39;ll be giving up on food and social working for 40 hours. I&#39;m doing this to raise money for African people who can&#39;t experience the luxuries that we can. So can you donate to give them a chance? Any amount would do :) Click on the link and donate h t t p : / / 4 0 h f . c o m . a u / A n t h o n y L a m Thanks :)"
336,meg fluttershy Love itt and ppl check out my channel!!!
337,BDOG1040 SUBSCRIBE MY CHANNEL
338,macgyver16 adf.ly / KlD3Y
339,macgyver16 adf.ly / KlD3Y
340,damion taylor check out my new video
341,"Shadrach Grentz Hey Music Fans I really appreciate all of you who take time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I dont have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that u won&#39;t regret!!! Thank u to all the people who just give me a chance it means a lot! :)"
342,"Joshua Kasey Hello everyone, It Is not my intention to spam and am truly sorry If anyone Is annoyed by this but just please hear me out. I am a rapper, singer, music producer and a song writer and have been making music for a while now, eight years to be exact. I enjoy making all types of music that anyone can listen to, doesn&#39;t have me talking about killing anyone and most importantly, focuses on the quality of the music. Please check out my page, It&#39;s only a click away. Thank you and have a nice day :)"
343,ricky swaggz ******* Facebook is LAME and so 2004! Check out ------------ swagFriends com Make thousands of cool new friends everyday! Join this new movement!
344,steven reed Please check out and send to others Freedom and Justice are on the line! Please Google: Steven L. Reed Case Lands in Supreme Court---thanks!
345,"Johnny Rei Vlog Nice to meet You - this is Johnny: 1. If You already know my music - thumb this up, because You found it this way, too. 2. If You want to hear original songs completely made by 1 person, continue reading: I sing, write original music+lyrics &amp; play guitar, bass, drums &amp; keyboards. I&#39;m a 1-man-band. My music is completely independent &amp; 100% listener-supported. If You want to hear it &amp; if You&#39;re willing to help record new album - click on my name/picture. Enjoy the music - wish You awesome day!"
346,yakikukamo FIRELOVER hey you ! check out the channel of Alvar Lake !!
347,"Johnny Rei Vlog Hi -this is Johnny: 1. If You already know my music - thumb this up, because You found it this way, too. 2. If You want to hear original songs completely made by 1 person, continue reading: I sing, write original music+lyrics &amp; play guitar, bass, drums &amp; keyboards. I&#39;m a 1-man-band. My music is completely independent &amp; 100% listener-supported. If You want to hear it &amp; if You&#39;re willing to help record new album - click on my name/picture. Thank You &amp; enjoy the music - wish You awesome day!"
348,hsn moghrbi wow
349,Zuzanna Sztandera Love this song!!!
350,Chelsea Fischer Love this song !!!!!!
351,Lisa Matthews Check out this video on YouTube:<br />&quot;This Time for Africa&quot;. One for Trayvon! And Our MOTHERland<br />Thank-you Shakira﻿
352,laura elliott i watched this because of the large amount of views and now i am convinced it is because that girl is so hot
353,"Riley Rollins O peoples of the earth, I have seen how you perform every form of evil at your leisure! You cease not from reveling in that which I hate! Behold, you murder the innocent day and night and plot evil against your neighbor! You stand up for the rights of those who commit abomination and clap your hands as wickedness is celebrated openly in the streets!... O MOST PERVERSE AND ABOMINABLE GENERATION, SHALL I NOT REPAY?! Hear the Word of The Lord - TrumpetCallOfGodOnline. co m"
354,Oona Sarlotta this song always gives me chills! :)
355,lynchee360 I love dis song!! 3
356,FAHAD KHAN I WILL NEVER FORGET THIS SONG IN MY LIFE LIKE THIS COMMENT OF YOUR HEARING THIS SONG FOR LIKE A YEAR!!!!!
357,ricky swaggz ********OMG Facebook is OLD! Check out -----------------&gt; swagFriends com Make thousands of cool new friends everyday! Join the movement!
358,"Shadrach Grentz Hey Music Fans I really appreciate all of you who take time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I dont have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that u won&#39;t regret!!! Thank u to all the people who just give me a chance it means a lot! :)"
359,ThirdDegr3e **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE****
360,ThirdDegr3e **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE****
361,ThirdDegr3e **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE****
362,Ysobel Schofield Waka waka she rules
363,TheHotChocolate she is sooooo beautiful!
364,Dinova Sharon well done shakira
365,Katie Mettam I love this song because we sing it at Camp all the time!!
366,Sabina Pearson-Smith I love this song for two reasons: 1.it is about Africa 2.i was born in beautiful south Africa
367,jeffrey jules wow
368,Aishlin Maciel Shakira u are so wiredo
369,Latin Bosch Shakira is the best dancer
